OBJECTID,ROADNAME,MAP_TYPE,MPWBIKEID,SHAPELEN
1497,WINKLER AVE,2,1561,269.716812804727
1498,SOUTHERN PKY,2,1562,412.206975425739
1499,SOUTHERN PKY,2,1563,319.293801134845
1500,SOUTHERN PKY,2,1564,829.100156510577
1501,SOUTHERN PKY,2,1565,512.127984167531
1502,SOUTHERN PKY,2,1566,756.956060527466
1503,SOUTHERN PKY,2,1567,693.703372699868
1504,SOUTHERN PKY,2,1568,509.215486552882
1505,SOUTHERN PKY,2,1569,1472.83769978846
1506,SOUTHERN PKY,2,1570,511.009065671522
1507,SOUTHERN PKY,2,1571,885.008656781379
1508,SOUTHERN PKY,2,1572,506.728544695872
1509,COLORADO AVE,3,1573,359.639733022218
1510,COLORADO AVE,3,1574,339.530441967115
1511,COLORADO AVE,3,1575,353.036714510656
1512,COLORADO AVE,3,1576,360.347652608839
1513,COLORADO AVE,3,1577,139.714199754534
1514,COLORADO AVE,3,1578,147.933504166868
1515,COLORADO AVE,3,1579,312.065838178187
1516,COLORADO AVE,3,1580,331.407473430457
1517,COLORADO AVE,3,1581,359.178177812735
1518,COLORADO AVE,3,1582,228.686700081404
1519,COLORADO AVE,3,1583,319.036909053364
1520,COLORADO AVE,3,1584,310.660423165396
1521,COLORADO AVE,3,1585,76.7940686884617
1522,COLORADO AVE,3,1586,318.246763391944
1523,COLORADO AVE,3,1587,318.683092558069
1524,COLORADO AVE,3,1589,481.784036972874
1525,COLORADO AVE,3,1590,438.615036122571
1526,COLORADO AVE,3,1591,382.889594251429
